source_id,ra,dec,teff_val,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,chip,sdss_r_mag
3043144346816864640,119.12470117315272,-6.840011155211687,4925.93994140625,15.872136116027832,16.410503387451172,15.1881742477417,R44_SW0,15.83084487915039
3043144106298721792,119.04204986890292,-6.857896318395167,5643.33740234375,15.4996976852417,15.833661079406738,14.982096672058105,R44_SW0,15.468936920166016
3043144067641665152,119.06512938075365,-6.864578675950332,,17.845308303833008,18.18951416015625,17.307212829589844,R44_SW0,17.811859130859375
3043147610992527616,119.06472012391697,-6.816031900726461,4985.296875,15.858563423156738,16.421653747558594,15.157395362854004,R44_SW0,15.819414138793945
3043147610992527488,119.06341736848212,-6.814857885573925,4876.7099609375,15.930270195007324,16.53138542175293,15.196475982666016,R44_SW0,15.896451950073242
3043147473553575168,119.05143706364943,-6.832501907109162,,17.30974769592285,17.852821350097656,16.62517547607422,R44_SW0,17.268688201904297
3043143827121638528,119.05445141720908,-6.881922808792086,6144.85498046875,13.304293632507324,13.581992149353027,12.85261058807373,R44_SW0,13.287008285522461
3043144342517712000,119.1189758822522,-6.8468776828660385,4863.357421875,12.794958114624023,13.281067848205566,12.059489250183105,R44_SW0,12.75363540649414
3043147645351744384,119.0872650183677,-6.802926110978833,,17.605846405029297,18.023466110229492,17.032962799072266,R44_SW0,17.565372467041016
3043147645351744000,119.09002881924157,-6.80398934511193,5812.0,14.222053527832031,14.56339168548584,13.715986251831055,R44_SW0,14.191679000854492
3043143998922188032,119.02962442207632,-6.864687965549087,5812.66650390625,16.916419982910156,17.243200302124023,16.423131942749023,R44_SW0,16.888715744018555
3043147645351745280,119.07906197384753,-6.801202573269269,3492.0,15.58773136138916,16.748376846313477,14.03426456451416,R44_SW0,16.23844337463379
3043238251982161152,119.12219912822749,-6.823795444930415,4659.18017578125,17.041879653930664,17.69169807434082,16.281967163085938,R44_SW0,17.016164779663086
3043147645351745152,119.08022895535557,-6.801557620367236,,17.360998153686523,17.688688278198242,16.81488037109375,R44_SW0,17.328262329101562
3043147645351746432,119.07381040300102,-6.803323812830333,5208.5,15.805997848510742,15.831644058227539,14.939866065979004,R44_SW0,15.77177906036377
3043147645351746816,119.07517655753051,-6.805942093834301,4979.0,16.917091369628906,17.408044815063477,16.298194885253906,R44_SW0,16.873620986938477
3043144140658956288,119.04349187980434,-6.84899478826843,5411.75,15.020634651184082,15.40211296081543,14.474828720092773,R44_SW0,14.983793258666992
3043142697549949056,119.11920647719322,-6.91629783290648,5248.81494140625,16.73358917236328,17.168622970581055,16.126514434814453,R44_SW0,16.691181182861328
3043140872185859328,119.04627734421005,-6.984184247193659,4861.0,16.90806007385254,17.500070571899414,16.198436737060547,R44_SW0,16.871456146240234
3043142109136520704,119.02873679875033,-6.9203151328335455,,17.871110916137695,18.69457244873047,16.981605529785156,R44_SW0,17.906660079956055
3043142109136521472,119.02526716804084,-6.920086975065149,,17.482759475708008,17.920610427856445,16.88568687438965,R44_SW0,17.440563201904297
3043144656054514432,119.07745730623502,-6.823485429054995,,17.278766632080078,17.80797004699707,16.59527587890625,R44_SW0,17.237089157104492
3043143556542889088,119.12441733010141,-6.860083533690098,5528.5,16.862377166748047,17.231502532958984,16.334510803222656,R44_SW0,16.827747344970703
3043144381176610560,119.09303220510196,-6.841560877815106,4892.18701171875,16.914873123168945,17.504846572875977,16.193777084350586,R44_SW0,16.879009246826172
3043143998922185728,119.02766653263178,-6.866908512505857,,17.98770523071289,18.86961555480957,17.03730010986328,R44_SW0,18.061115264892578
3043142933770255104,119.09715621731853,-6.908716491762416,4971.48681640625,17.016761779785156,17.533424377441406,16.364009857177734,R44_SW0,16.973814010620117
3043144239440352896,119.0789005740041,-6.868121114703689,,17.705589294433594,18.089834213256836,17.137136459350586,R44_SW0,17.667123794555664
3043144346816865152,119.12178475818683,-6.840691023831715,5319.0,15.015938758850098,15.444442749023438,14.434830665588379,R44_SW0,14.974637985229492
3043144587335035136,119.09436672711321,-6.828404273507091,,17.563051223754883,18.00090980529785,16.9589786529541,R44_SW0,17.520647048950195
3043142761971558784,119.11792972459254,-6.91330345860584,,17.28605842590332,17.80797004699707,16.570432662963867,R44_SW0,17.245458602905273
3043144587335035776,119.09269733510557,-6.829309999675819,4826.67333984375,15.949738502502441,16.51521110534668,15.253678321838379,R44_SW0,15.91042709350586
3043147610992012928,119.0745037166867,-6.818526662772555,5919.85693359375,14.769769668579102,15.070671081542969,14.30684757232666,R44_SW0,14.748251914978027
3043143006787104384,119.07761679220219,-6.9011184371748,,17.40312957763672,18.04189682006836,16.63968849182129,R44_SW0,17.376482009887695
3043140773404154240,119.01701531522451,-6.975684458957409,5789.0,15.084168434143066,15.426896095275879,14.577375411987305,R44_SW0,15.053596496582031
3043141151361270912,119.02996622714397,-6.968389692300124,5627.49267578125,15.029863357543945,15.448783874511719,14.460233688354492,R44_SW0,14.989480972290039
3043142938067630208,119.08668924162512,-6.912393155093181,4976.16015625,14.408143997192383,14.908069610595703,13.762056350708008,R44_SW0,14.364824295043945
3043140464166516096,119.02832783666996,-6.999551568117954,,17.694093704223633,18.64225959777832,16.738080978393555,R44_SW0,17.79438018798828
3043140464166515840,119.02600620079042,-6.997805669679249,5319.0,16.586135864257812,16.974672317504883,16.02657699584961,R44_SW0,16.547948837280273
3043143934500042368,119.03194485105601,-6.877353917453352,5437.66650390625,16.144079208374023,16.516071319580078,15.61267375946045,R44_SW0,16.108957290649414
3043143831420816512,119.06143972650682,-6.873113349930722,5620.71337890625,16.49079704284668,16.789440155029297,16.02674102783203,R44_SW0,16.469411849975586
3043142972427355008,119.11097772489634,-6.898477992185287,5664.87353515625,15.672670364379883,16.031871795654297,15.146040916442871,R44_SW0,15.638931274414062
3043140498526250624,119.03707452217839,-6.9953579951453,4243.39013671875,16.833898544311523,17.699405670166016,15.918432235717773,R44_SW0,16.890005111694336
3043140567245726208,119.02619703414067,-6.985904952290974,5168.96240234375,17.044416427612305,17.44074821472168,16.464466094970703,R44_SW0,17.004640579223633
3043144037579247616,119.05610941486462,-6.871054673485786,3922.5,16.647537231445312,17.541301727294922,15.7138032913208,R44_SW0,16.719257354736328
3043147606694761344,119.07204807463339,-6.811764935758452,,17.8609676361084,18.989912033081055,16.831356048583984,R44_SW0,18.082874298095703
3043144175018190464,119.0889126904469,-6.864002166568747,4869.87646484375,16.813447952270508,17.34330940246582,16.128421783447266,R44_SW0,16.771854400634766
3043140464166519680,119.02351831505975,-7.0055825262321685,5693.0,16.361085891723633,16.726377487182617,15.838309288024902,R44_SW0,16.327165603637695
3043143144226044544,119.12436604355598,-6.897329590397425,5740.5498046875,15.187541007995605,15.520539283752441,14.685458183288574,R44_SW0,15.158341407775879
3043143350384475264,119.1136140173727,-6.891512331439214,,17.61955451965332,18.09617805480957,16.989042282104492,R44_SW0,17.576093673706055
3043093799344282368,119.10911620276532,-6.993906165674252,,17.518335342407227,18.06818389892578,16.832317352294922,R44_SW0,17.4776554107666
3043095315470267648,119.12360601655983,-6.96913766623408,,17.30449867248535,17.750926971435547,16.700586318969727,R44_SW0,17.261869430541992
3043095727787108992,119.12510542008953,-6.927537571566715,4878.33349609375,16.829959869384766,17.360851287841797,16.164567947387695,R44_SW0,16.787710189819336
3043094009800221312,119.08810807589056,-6.978792712695963,4975.13671875,16.08732032775879,16.50335693359375,15.354072570800781,R44_SW0,16.044038772583008
3043095762146846848,119.13014218023073,-6.930231122782232,4460.0,16.84093475341797,17.42713737487793,15.86684513092041,R44_SW0,16.83968162536621
3043092875925349888,119.11352542090304,-7.015553137017472,,17.79083251953125,18.13169288635254,17.248550415039062,R44_SW0,17.757312774658203
3043093936783243648,119.05628800623339,-6.988142456639505,,17.475635528564453,17.960952758789062,16.819028854370117,R44_SW0,17.432273864746094
3043095624707903232,119.11037810529743,-6.942457772981774,5647.28369140625,16.883670806884766,17.24105453491211,16.358577728271484,R44_SW0,16.85020637512207
3043095345532546304,119.12758848990039,-6.964750954500375,,17.58783531188965,17.975217819213867,17.06609535217285,R44_SW0,17.552284240722656
3043093734922318592,119.1072607439303,-7.001040212328036,5020.0,16.53898048400879,16.973329544067383,15.87415885925293,R44_SW0,16.495563507080078
3043093734922318464,119.10798602029668,-7.001241995439708,5324.25,15.381793975830078,15.763236999511719,14.796538352966309,R44_SW0,15.342528343200684
3043094039862479104,119.10233441316105,-6.972256240350452,,17.68389320373535,18.12483024597168,17.068761825561523,R44_SW0,17.64112663269043
3043093734922315264,119.11987729894794,-7.0002448799763295,5348.0,17.016033172607422,17.430219650268555,16.44139289855957,R44_SW0,16.975637435913086
3043094044159957376,119.09411290320227,-6.975931342505498,5345.66650390625,15.035070419311523,15.441817283630371,14.466788291931152,R44_SW0,14.995359420776367
3043093872357769344,119.07262634212849,-6.996022100337113,6648.35009765625,13.248244285583496,13.451851844787598,12.817647933959961,R44_SW0,13.244291305541992
3043095723487927936,119.12744328260443,-6.934546629085156,9584.0,12.000346183776855,11.999862670898438,11.93375301361084,R44_SW0,12.112966537475586
3043093971141276544,119.06951335399448,-6.990876121746785,4909.0,13.227784156799316,13.867536544799805,12.473474502563477,R44_SW0,13.200156211853027
3043093661904588032,119.08655017441836,-7.0130535658556505,5346.5,16.523862838745117,16.9396915435791,15.94959831237793,R44_SW0,16.483407974243164
3043093425684697600,119.03032634083388,-7.018590880830172,5187.169921875,16.622976303100586,16.99981117248535,15.97364330291748,R44_SW0,16.581064224243164
3043093661904587136,119.07592665471267,-7.013794715554439,,17.736644744873047,18.883424758911133,16.620452880859375,R44_SW0,18.021223068237305
3043093425684699008,119.02367881674503,-7.017219048109881,5354.33349609375,14.148277282714844,14.563316345214844,13.570211410522461,R44_SW0,14.107683181762695
3043092875928863488,119.11754952846225,-7.0199919833061895,4888.75,15.66527271270752,16.202966690063477,14.972564697265625,R44_SW0,15.624336242675781
3043093906721014272,119.07714028332889,-6.994361132663783,5818.0,14.173758506774902,14.508051872253418,13.68174934387207,R44_SW0,14.145424842834473
3043092875928863360,119.1119507625021,-7.016345671306309,5088.0,14.795302391052246,15.348610877990723,14.105993270874023,R44_SW0,14.754955291748047
3043093975440490624,119.06498385579519,-6.985559813912856,5442.740234375,16.479949951171875,16.832626342773438,15.941108703613281,R44_SW0,16.44575309753418
3043093975440490880,119.06235457753118,-6.984885714335829,5005.20654296875,13.31389331817627,13.881385803222656,12.614936828613281,R44_SW0,13.274876594543457
3043093631843109120,119.09315764238,-7.010498342319046,4885.0,17.041553497314453,17.55133628845215,16.365478515625,R44_SW0,16.998998641967773
3043093631843110400,119.10279134975211,-7.0201270490679395,5230.0,16.484399795532227,16.86955451965332,15.926379203796387,R44_SW0,16.446517944335938
3043093941080755200,119.05488011477196,-6.989103465108834,5727.0,16.971229553222656,17.335317611694336,16.446794509887695,R44_SW0,16.937271118164062
3043093666202848640,119.0879598290515,-7.0104114184698005,5448.8349609375,16.68583106994629,17.036571502685547,16.151948928833008,R44_SW0,16.652191162109375
